Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    666/1    0.009    0.000   14.379   14.379 {built-in method builtins.exec}
        1    0.000    0.000   14.379   14.379 test_mmap_speed_subset.py:1(<module>)
        1    0.013    0.013   14.179   14.179 test_mmap_speed_subset.py:7(main)
        1    0.037    0.037   12.670   12.670 streaming_scanner.py:146(run_streaming_scan)
     2000    8.336    0.004    8.336    0.004 {built-in method gc.collect}
     4000    0.014    0.000    3.040    0.001 _base.py:199(as_completed)
     2001    0.002    0.000    3.001    0.001 threading.py:604(wait)
     2001    0.004    0.000    2.997    0.001 threading.py:288(wait)
    10006    2.991    0.000    2.991    0.000 {method 'acquire' of '_thread.lock' objects}
   104992    0.158    0.000    1.496    0.000 connector.py:125(iter_files)
     2000    0.017    0.000    1.073    0.001 __init__.py:2900(__init__)
     2012    0.056    0.000    0.808    0.000 {built-in method builtins.sorted}
     2000    0.001    0.000    0.527    0.000 mupdf.py:50777(fz_open_document)
     2000    0.526    0.000    0.526    0.000 {built-in method pymupdf._mupdf.fz_open_document}
     2000    0.007    0.000    0.481    0.000 __init__.py:5310(init_doc)
     2000    0.005    0.000    0.455    0.000 __init__.py:5315(<listcomp>)
    22000    0.009    0.000    0.452    0.000 __init__.py:3907(_getMetadata)
   104992    0.010    0.000    0.449    0.000 pathlib.py:956(rglob)
   116706    0.297    0.000    0.444    0.000 {built-in method posix.stat}
    22000    0.004    0.000    0.443    0.000 mupdf.py:48646(fz_lookup_metadata2)
    22000    0.425    0.000    0.439    0.000 {built-in method pymupdf._mupdf.fz_lookup_metadata2}
   104992    0.039    0.000    0.439    0.000 pathlib.py:402(_select_from)
   104994    0.014    0.000    0.402    0.000 pathlib.py:1008(stat)
       35    0.002    0.000    0.383    0.011 __init__.py:1(<module>)
   841173    0.220    0.000    0.303    0.000 pathlib.py:590(__lt__)
    431/6    0.001    0.000    0.240    0.040 <frozen importlib._bootstrap>:1167(_find_and_load)
    430/6    0.001    0.000    0.240    0.040 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    414/7    0.001    0.000    0.239    0.034 <frozen importlib._bootstrap>:666(_load_unlocked)
    361/7    0.000    0.000    0.239    0.034 <frozen importlib._bootstrap_external>:934(exec_module)
   961/13    0.000    0.000    0.237    0.018 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.185    0.185 streaming_scanner.py:1(<module>)
   105248    0.098    0.000    0.173    0.000 pathlib.py:353(_select_from)
  1787337    0.150    0.000    0.153    0.000 pathlib.py:569(_cparts)
   209982    0.057    0.000    0.153    0.000 pathlib.py:583(__hash__)
   105600    0.016    0.000    0.147    0.000 pathlib.py:546(__fspath__)
    75/25    0.000    0.000    0.140    0.006 {built-in method builtins.__import__}
   210591    0.100    0.000    0.137    0.000 pathlib.py:536(__str__)
